origin,destination,netperf_p50_latency_microseconds,netperf_p90_latency_microseconds,netperf_p99_latency_microseconds
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node8.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,458,631,1021
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node2.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,274,346,390
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node3.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,272,354,406
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,master.cluster.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,246,310,360
node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,node1.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,321,379,411
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,110,157,247
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,163,227,314
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,184,224,322
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,78,121,255
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,525,941,2300
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,156,205,307
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,151,192,307
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,156,193,264
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node9.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,82,149,268
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node8.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,183,226,322
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node2.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,453,536,615
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node3.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,502,778,2384
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,master.cluster.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,426,676,2080
node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node1.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,349,459,535
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,152,197,258
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,226,324,411
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,177,224,288
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,165,211,296
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,391,476,640
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,204,243,294
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,216,262,349
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,135,192,290
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node9.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,152,192,311
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node8.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,221,268,367
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node2.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,491,640,771
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node3.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,371,460,568
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,master.cluster.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,425,567,715
node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node1.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,499,778,1657
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,151,185,238
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,147,213,305
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node7.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,136,195,283
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node6.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,199,247,323
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node4.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,561,943,2800
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node12.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,197,237,313
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node13.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,221,312,401
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,222,320,398
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node9.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,198,239,306
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node8.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,141,195,267
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node2.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,394,469,570
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node3.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,462,578,672
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,master.cluster.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,445,555,756
node10.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node1.testbed.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be,467,600,708
node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node14.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,160,198,272
node5.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,node11.testbed2.wall2-ilabt-iminds-be.wall2.ilabt.iminds.be,198,248,340
